Asset_Code,Price_Type,Date,Price,Proxy_Level,Proxy_Name
SPX2,GTR,1928-02-08,2.041837071,2,
SPX3,GTR,1928-02-08,1.968906551,2,
SPX2,NTR,1928-02-09,4.307964222,2,
SPX3,NTR,1928-02-09,4.20166152,2,
SPX2,GTR,1928-02-09,2.049137494,2,
SPX3,GTR,1928-02-09,1.97585747,2,
SPX2,NTR,1928-02-10,4.305945769,2,
SPX3,NTR,1928-02-10,4.199559722,2,
SPX2,GTR,1928-02-10,2.048266789,2,
SPX3,GTR,1928-02-10,1.974928842,2,
SPX2,NTR,1928-02-14,4.283140571,2,
SPX3,NTR,1928-02-14,4.176785627,2,
SPX2,GTR,1928-02-14,2.037776174,2,
SPX3,GTR,1928-02-14,1.964457766,2,
SPX2,NTR,1928-02-15,4.273750569,2,
SPX3,NTR,1928-02-15,4.167496425,2,
SPX2,GTR,1928-02-15,2.033397624,2,
SPX3,GTR,1928-02-15,1.960148208,2,
SPX2,NTR,1928-02-16,4.26190244,2,
SPX3,NTR,1928-02-16,4.155810795,2,
SPX2,GTR,1928-02-16,2.027849142,2,
SPX3,GTR,1928-02-16,1.954711246,2,
SPX2,NTR,1928-02-17,4.186184738,2,
SPX3,NTR,1928-02-17,4.081846237,2,
SPX2,GTR,1928-02-17,1.991910489,2,
SPX3,GTR,1928-02-17,1.919980676,2,
SPX2,NTR,1928-02-20,4.165346296,2,
SPX3,NTR,1928-02-20,4.061139119,2,
SPX2,GTR,1928-02-20,1.982255645,2,
SPX3,GTR,1928-02-20,1.910414851,2,
SPX2,NTR,1928-02-21,4.205086986,2,
SPX3,NTR,1928-02-21,4.099756891,2,
SPX2,GTR,1928-02-21,2.001254407,2,
SPX3,GTR,1928-02-21,1.92863895,2,
SPX2,NTR,1928-02-23,4.210853963,2,
SPX3,NTR,1928-02-23,4.105119571,2,
SPX2,GTR,1928-02-23,2.004173601,2,
SPX3,GTR,1928-02-23,1.931278357,2,
SPX2,NTR,1928-02-24,4.223571233,2,
SPX3,NTR,1928-02-24,4.117387418,2,
SPX2,GTR,1928-02-24,2.010313875,2,
SPX3,GTR,1928-02-24,1.937108247,2,
SPX2,NTR,1928-02-27,4.207645316,2,
SPX3,NTR,1928-02-27,4.101470448,2,
SPX2,GTR,1928-02-27,2.00299665,2,
SPX3,GTR,1928-02-27,1.929795536,2,
SPX2,NTR,1928-02-28,4.220367251,2,
SPX3,NTR,1928-02-28,4.113741384,2,
SPX2,GTR,1928-02-28,2.009140151,2,
SPX3,GTR,1928-02-28,1.935627534,2,
SPX2,NTR,1928-02-29,4.245388824,2,
SPX3,NTR,1928-02-29,4.138000431,2,
SPX2,GTR,1928-02-29,2.021139527,2,
SPX3,GTR,1928-02-29,1.947100616,2,
SPX2,NTR,1928-03-01,4.255469903,2,
SPX3,NTR,1928-03-01,4.147878118,2,
SPX2,GTR,1928-03-01,2.025988635,2,
SPX3,GTR,1928-03-01,1.951807362,2,
SPX2,NTR,1928-03-02,4.255712882,2,
SPX3,NTR,1928-03-02,4.148166688,2,
SPX2,GTR,1928-03-02,2.026154154,2,
SPX3,GTR,1928-03-02,1.952002179,2,
SPX2,NTR,1928-03-05,4.3228605,2,
SPX3,NTR,1928-03-05,4.213772632,2,
SPX2,GTR,1928-03-05,2.05827281,2,
SPX3,GTR,1928-03-05,1.983051459,2,
SPX2,NTR,1928-03-06,4.347710972,2,
SPX3,NTR,1928-03-06,4.238048556,2,
SPX2,GTR,1928-03-06,2.070155667,2,
SPX3,GTR,1928-03-06,1.99453597,2,
SPX2,NTR,1928-03-07,4.325814679,2,
SPX3,NTR,1928-03-07,4.216757414,2,
SPX2,GTR,1928-03-07,2.059780707,2,
SPX3,GTR,1928-03-07,1.984576124,2,
SPX2,NTR,1928-03-08,4.340825547,2,
SPX3,NTR,1928-03-08,4.23144244,2,
SPX2,GTR,1928-03-08,2.066978955,2,
SPX3,GTR,1928-03-08,1.991547508,2,
SPX2,NTR,1928-03-09,4.412436178,2,
SPX3,NTR,1928-03-09,4.301301353,2,
SPX2,GTR,1928-03-09,2.10112877,2,
SPX3,GTR,1928-03-09,2.024487151,2,
SPX2,NTR,1928-03-12,4.430418467,2,
SPX3,NTR,1928-03-12,4.318991672,2,
SPX2,GTR,1928-03-12,2.1098467,2,
SPX3,GTR,1928-03-12,2.032997105,2,
SPX2,NTR,1928-03-13,4.410980686,2,
SPX3,NTR,1928-03-13,4.300096628,2,
SPX2,GTR,1928-03-13,2.100641973,2,
SPX3,GTR,1928-03-13,2.024164483,2,
SPX2,NTR,1928-03-14,4.413694029,2,
SPX3,NTR,1928-03-14,4.302795396,2,
SPX2,GTR,1928-03-14,2.101985824,2,
SPX3,GTR,1928-03-14,2.025496077,2,
SPX2,NTR,1928-03-15,4.448408795,2,
SPX3,NTR,1928-03-15,4.336691584,2,
SPX2,GTR,1928-03-15,2.118570157,2,
SPX3,GTR,1928-03-15,2.041513611,2,
SPX2,NTR,1928-03-16,4.495436319,2,
SPX3,NTR,1928-03-16,4.38259215,2,
SPX2,GTR,1928-03-16,2.141019296,2,
SPX3,GTR,1928-03-16,2.063183213,2,
SPX2,NTR,1928-03-19,4.520825398,2,
SPX3,NTR,1928-03-19,4.407507901,2,
SPX2,GTR,1928-03-19,2.153269234,2,
SPX3,GTR,1928-03-19,2.075099934,2,
SPX2,NTR,1928-03-20,4.54570676,2,
SPX3,NTR,1928-03-20,4.431820568,2,
SPX2,GTR,1928-03-20,2.165173197,2,
SPX3,GTR,1928-03-20,2.086609343,2,
SPX2,NTR,1928-03-21,4.592753108,2,
SPX3,NTR,1928-03-21,4.477743513,2,
SPX2,GTR,1928-03-21,2.187635185,2,
SPX3,GTR,1928-03-21,2.108294092,2,
SPX2,NTR,1928-03-22,4.580702334,2,
SPX3,NTR,1928-03-22,4.466050358,2,
SPX2,GTR,1928-03-22,2.181948937,2,
SPX3,GTR,1928-03-22,2.102852264,2,
SPX2,NTR,1928-03-23,4.62529326,2,
SPX3,NTR,1928-03-23,4.509580905,2,
SPX2,GTR,1928-03-23,2.203242832,2,
SPX3,GTR,1928-03-23,2.12341234,2,
SPX2,NTR,1928-03-26,4.692583371,2,
SPX3,NTR,1928-03-26,4.575356338,2,
SPX2,GTR,1928-03-26,2.235458848,2,
SPX3,GTR,1928-03-26,2.154576466,2,
SPX2,NTR,1928-03-27,4.665755026,2,
SPX3,NTR,1928-03-27,4.549255267,2,
SPX2,GTR,1928-03-27,2.222733319,2,
SPX3,GTR,1928-03-27,2.142350397,2,
SPX2,NTR,1928-03-28,4.653704232,2,
SPX3,NTR,1928-03-28,4.537562112,2,
SPX2,GTR,1928-03-28,2.217047083,2,
SPX3,GTR,1928-03-28,2.136908608,2,
SPX2,NTR,1928-03-29,4.668751435,2,
SPX3,NTR,1928-03-29,4.552290377,2,
SPX2,GTR,1928-03-29,2.224270182,2,
SPX3,GTR,1928-03-29,2.143909328,2,
SPX2,NTR,1928-03-30,4.750320806,2,
SPX3,NTR,1928-03-30,4.631881796,2,
SPX2,GTR,1928-03-30,2.263185892,2,
SPX3,GTR,1928-03-30,2.181457887,2,
SPX2,NTR,1928-04-02,4.659725037,2,
SPX3,NTR,1928-04-02,4.543958676,2,
SPX2,GTR,1928-04-02,2.220139919,2,
SPX3,GTR,1928-04-02,2.140247024,2,
SPX2,NTR,1928-04-03,4.687016192,2,
SPX3,NTR,1928-04-03,4.570707136,2,
SPX2,GTR,1928-04-03,2.23318093,2,
SPX3,GTR,1928-04-03,2.152910526,2,
SPX2,NTR,1928-04-04,4.679809912,2,
SPX3,NTR,1928-04-04,4.563815806,2,
SPX2,GTR,1928-04-04,2.2297857,2,
SPX3,GTR,1928-04-04,2.149729656,2,
SPX2,NTR,1928-04-05,4.739140632,2,
SPX3,NTR,1928-04-05,4.62181187,2,
SPX2,GTR,1928-04-05,2.25809319,2,
SPX3,GTR,1928-04-05,2.177113007,2,
SPX2,NTR,1928-04-09,4.749752694,2,
SPX3,NTR,1928-04-09,4.632711791,2,
SPX2,GTR,1928-04-09,2.263304434,2,
SPX3,GTR,1928-04-09,2.182510801,2,
SPX2,NTR,1928-04-10,4.708039347,2,
SPX3,NTR,1928-04-10,4.592164293,2,
SPX2,GTR,1928-04-10,2.243466407,2,
SPX3,GTR,1928-04-10,2.163474528,2,
SPX2,NTR,1928-04-11,4.792034704,2,
SPX3,NTR,1928-04-11,4.674229105,2,
SPX2,GTR,1928-04-11,2.283530181,2,
SPX3,GTR,1928-04-11,2.202202583,2,
SPX2,NTR,1928-04-12,4.784830257,2,
SPX3,NTR,1928-04-12,4.667340977,2,
SPX2,GTR,1928-04-12,2.280136219,2,
SPX3,GTR,1928-04-12,2.199023931,2,
SPX2,NTR,1928-04-13,4.863905012,2,
SPX3,NTR,1928-04-13,4.744613091,2,
SPX2,GTR,1928-04-13,2.317857146,2,
SPX3,GTR,1928-04-13,2.235497295,2,
SPX2,NTR,1928-04-16,4.85215943,2,
SPX3,NTR,1928-04-16,4.733579492,2,
SPX2,GTR,1928-04-16,2.312379079,2,
SPX3,GTR,1928-04-16,2.230501467,2,
SPX2,NTR,1928-04-17,4.81290404,2,
SPX3,NTR,1928-04-17,4.695424423,2,
SPX2,GTR,1928-04-17,2.293710895,2,
SPX3,GTR,1928-04-17,2.212589942,2,
SPX2,NTR,1928-04-18,4.813095539,2,
SPX3,NTR,1928-04-18,4.695751087,2,
SPX2,GTR,1928-04-18,2.293841479,2,
SPX3,GTR,1928-04-18,2.212810788,2,
SPX2,NTR,1928-04-19,4.840410022,2,
SPX3,NTR,1928-04-19,4.722539485,2,
SPX2,GTR,1928-04-19,2.30689843,2,
SPX3,GTR,1928-04-19,2.225501389,2,
SPX2,NTR,1928-04-20,4.769093756,2,
SPX3,NTR,1928-04-20,4.653100513,2,
SPX2,GTR,1928-04-20,2.272949247,2,
SPX3,GTR,1928-04-20,2.19284551,2,
SPX2,NTR,1928-04-23,4.722810499,2,
SPX3,NTR,1928-04-23,4.608358685,2,
SPX2,GTR,1928-04-23,2.251007546,2,
SPX3,GTR,1928-04-23,2.171959185,2,
SPX2,NTR,1928-04-24,4.747660609,2,
SPX3,NTR,1928-04-24,4.632743828,2,
SPX2,GTR,1928-04-24,2.262890307,2,
SPX3,GTR,1928-04-24,2.183517798,2,
SPX2,NTR,1928-04-25,4.767580049,2,
SPX3,NTR,1928-04-25,4.652319091,2,
SPX2,GTR,1928-04-25,2.272423355,2,
SPX3,GTR,1928-04-25,2.192810102,2,
SPX2,NTR,1928-04-26,4.802299554,2,
SPX3,NTR,1928-04-26,4.686337772,2,
SPX2,GTR,1928-04-26,2.289011044,2,
SPX3,GTR,1928-04-26,2.208910681,2,
SPX2,NTR,1928-04-27,4.85428739,2,
SPX3,NTR,1928-04-27,4.73720982,2,
SPX2,GTR,1928-04-27,2.31383023,2,
SPX3,GTR,1928-04-27,2.232956082,2,
SPX2,NTR,1928-04-30,4.872133092,2,
SPX3,NTR,1928-04-30,4.755048362,2,
SPX2,GTR,1928-04-30,2.322455504,2,
SPX3,GTR,1928-04-30,2.241567142,2,
SPX2,NTR,1928-05-01,4.880137585,2,
SPX3,NTR,1928-05-01,4.762602031,2,
SPX2,GTR,1928-05-01,2.326395097,2,
SPX3,GTR,1928-05-01,2.245195792,2,
SPX2,NTR,1928-05-02,4.893078402,2,
SPX3,NTR,1928-05-02,4.774972302,2,
SPX2,GTR,1928-05-02,2.332688284,2,
SPX3,GTR,1928-05-02,2.251095312,2,
SPX2,NTR,1928-05-03,4.918359912,2,
SPX3,NTR,1928-05-03,4.799384036,2,
SPX2,GTR,1928-05-03,2.344865342,2,
SPX3,GTR,1928-05-03,2.262671969,2,
SPX2,NTR,1928-05-04,4.995471762,2,
SPX3,NTR,1928-05-04,4.874369666,2,
SPX2,GTR,1928-05-04,2.381754197,2,
SPX3,GTR,1928-05-04,2.29809241,2,
SPX2,NTR,1928-05-07,5.039286984,2,
SPX3,NTR,1928-05-07,4.916327855,2,
SPX2,GTR,1928-05-07,2.403026033,2,
SPX3,GTR,1928-05-07,2.318082709,2,
SPX2,NTR,1928-05-08,5.005345085,2,
SPX3,NTR,1928-05-08,4.882946913,2,
SPX2,GTR,1928-05-08,2.386968858,2,
SPX3,GTR,1928-05-08,2.302413468,2,
SPX2,NTR,1928-05-09,4.998557368,2,
SPX3,NTR,1928-05-09,4.876059764,2,
SPX2,GTR,1928-05-09,2.383859349,2,
SPX3,GTR,1928-05-09,2.299235662,2,
SPX2,NTR,1928-05-10,4.991767891,2,
SPX3,NTR,1928-05-10,4.869171633,2,
SPX2,GTR,1928-05-10,2.380748662,2,
SPX3,GTR,1928-05-10,2.296057198,2,
SPX2,NTR,1928-05-11,5.029435743,2,
SPX3,NTR,1928-05-11,4.905649708,2,
SPX2,GTR,1928-05-11,2.398840891,2,
SPX3,GTR,1928-05-11,2.313327868,2,
SPX2,NTR,1928-05-14,5.051067605,2,
SPX3,NTR,1928-05-14,4.925949212,2,
SPX2,GTR,1928-05-14,2.409542664,2,
SPX3,GTR,1928-05-14,2.323110267,2,
SPX2,NTR,1928-05-15,5.039337723,2,
SPX3,NTR,1928-05-15,4.914242135,2,
SPX2,GTR,1928-05-15,2.404075735,2,
SPX3,GTR,1928-05-15,2.317659389,2,
SPX2,NTR,1928-05-16,4.955932075,2,
SPX3,NTR,1928-05-16,4.832639817,2,
SPX2,GTR,1928-05-16,2.364414441,2,
SPX3,GTR,1928-05-16,2.279244121,2,
SPX2,NTR,1928-05-17,4.973848751,2,
SPX3,NTR,1928-05-17,4.849848085,2,
SPX2,GTR,1928-05-17,2.373088508,2,
SPX3,GTR,1928-05-17,2.28742908,2,
SPX2,NTR,1928-05-18,4.925023304,2,
SPX3,NTR,1928-05-18,4.801976267,2,
SPX2,GTR,1928-05-18,2.34991995,2,
SPX3,GTR,1928-05-18,2.264919532,2,
SPX2,NTR,1928-05-21,4.855154684,2,
SPX3,NTR,1928-05-21,4.733070206,2,
SPX2,GTR,1928-05-21,2.316959317,2,
SPX3,GTR,1928-05-21,2.232624512,2,
SPX2,NTR,1928-05-22,4.788976345,2,
SPX3,NTR,1928-05-22,4.668298675,2,
SPX2,GTR,1928-05-22,2.285501637,2,
SPX3,GTR,1928-05-22,2.202138819,2,
SPX2,NTR,1928-05-23,4.886041972,2,
SPX3,NTR,1928-05-23,4.762664592,2,
SPX2,GTR,1928-05-23,2.331947478,2,
SPX3,GTR,1928-05-23,2.246719889,2,
SPX2,NTR,1928-05-24,4.916334824,2,
SPX3,NTR,1928-05-24,4.791933642,2,
SPX2,GTR,1928-05-24,2.346529769,2,
SPX3,GTR,1928-05-24,2.260595097,2,
SPX2,NTR,1928-05-25,4.924366836,2,
SPX3,NTR,1928-05-25,4.799501947,2,
SPX2,GTR,1928-05-25,2.350488674,2,
SPX3,GTR,1928-05-25,2.264233812,2,
SPX2,NTR,1928-05-28,4.844537254,2,
SPX3,NTR,1928-05-28,4.720913928,2,
SPX2,GTR,1928-05-28,2.312761073,2,
SPX3,GTR,1928-05-28,2.227364217,2,
SPX2,NTR,1928-05-29,4.907024911,2,
SPX3,NTR,1928-05-29,4.781550411,2,
SPX2,GTR,1928-05-29,2.342715892,2,
SPX3,GTR,1928-05-29,2.256040347,2,
SPX2,NTR,1928-05-31,4.95280543,2,
SPX3,NTR,1928-05-31,4.825640498,2,
SPX2,GTR,1928-05-31,2.36482263,2,
SPX3,GTR,1928-05-31,2.276979474,2,
SPX2,NTR,1928-06-01,4.970418281,2,
SPX3,NTR,1928-06-01,4.842865962,2,
SPX2,GTR,1928-06-01,2.373289455,2,
SPX3,GTR,1928-06-01,2.285176175,2,
SPX2,NTR,1928-06-04,4.904388727,2,
SPX3,NTR,1928-06-04,4.778726061,2,
SPX2,GTR,1928-06-04,2.341933674,2,
SPX3,GTR,1928-06-04,2.255118167,2,
SPX2,NTR,1928-06-05,4.917048861,2,
SPX3,NTR,1928-06-05,4.79112601,2,
SPX2,GTR,1928-06-05,2.348035756,2,
SPX3,GTR,1928-06-05,2.261038,2,
SPX2,NTR,1928-06-06,4.870259934,2,
SPX3,NTR,1928-06-06,4.745599687,2,
SPX2,GTR,1928-06-06,2.325749452,2,
SPX3,GTR,1928-06-06,2.239621504,2,
SPX2,NTR,1928-06-07,4.858147116,2,
SPX3,NTR,1928-06-07,4.733860666,2,
SPX2,GTR,1928-06-07,2.320021333,2,
SPX3,GTR,1928-06-07,2.234149164,2,
SPX2,NTR,1928-06-08,4.798962653,2,
SPX3,NTR,1928-06-08,4.676253921,2,
SPX2,GTR,1928-06-08,2.291813743,2,
SPX3,GTR,1928-06-08,2.207029184,2,
SPX2,NTR,1928-06-11,4.62882173,2,
SPX3,NTR,1928-06-11,4.510651943,2,
SPX2,GTR,1928-06-11,2.210726781,2,
SPX3,GTR,1928-06-11,2.12907105,2,
SPX2,NTR,1928-06-12,4.544831072,2,
SPX3,NTR,1928-06-12,4.428866091,2,
SPX2,GTR,1928-06-12,2.170666282,2,
SPX3,GTR,1928-06-12,2.090531731,2,
SPX2,NTR,1928-06-13,4.681381571,2,
SPX3,NTR,1928-06-13,4.561991895,2,
SPX2,GTR,1928-06-13,2.235936951,2,
SPX3,GTR,1928-06-13,2.153433548,2,
SPX2,NTR,1928-06-14,4.721296089,2,
SPX3,NTR,1928-06-14,4.600949757,2,
SPX2,GTR,1928-06-14,2.255055132,2,
SPX3,GTR,1928-06-14,2.171888265,2,
SPX2,NTR,1928-06-15,4.644731634,2,
SPX3,NTR,1928-06-15,4.52639875,2,
SPX2,GTR,1928-06-15,2.218539826,2,
SPX3,GTR,1928-06-15,2.136761984,2,
SPX2,NTR,1928-06-18,4.561244435,2,
SPX3,NTR,1928-06-18,4.445220966,2,
SPX2,GTR,1928-06-18,2.178823427,2,
SPX3,GTR,1928-06-18,2.098634522,2,
SPX2,NTR,1928-06-19,4.546626863,2,
SPX3,NTR,1928-06-19,4.431034936,2,
SPX2,GTR,1928-06-19,2.171893575,2,
SPX3,GTR,1928-06-19,2.09200062,2,
SPX2,NTR,1928-06-20,4.60390086,2,
SPX3,NTR,1928-06-20,4.486912346,2,
SPX2,GTR,1928-06-20,2.199305513,2,
SPX3,GTR,1928-06-20,2.118444988,2,
SPX2,NTR,1928-06-21,4.60168009,2,
SPX3,NTR,1928-06-21,4.484808287,2,
SPX2,GTR,1928-06-21,2.198297832,2,
SPX3,GTR,1928-06-21,2.117515648,2,
SPX2,NTR,1928-06-22,4.596979704,2,
SPX3,NTR,1928-06-22,4.48028753,2,
SPX2,GTR,1928-06-22,2.196105547,2,
SPX3,GTR,1928-06-22,2.115445198,2,
