period_index,GTR_Price,PR_Price,NTR_Price,div_yield,tax_rate
31/12/1999,2021.401,1469.25,2013.76,0.015154964,0.302576856
31/12/2000,1837.365,1320.28,1823.99,0.010348081,0.308546675
31/12/2001,1618.979,1148.08,1600.85,0.011568623,0.300635676
31/12/2002,1261.176,879.82,1240.93,0.012654338,0.302285387
31/12/2003,1622.939,1111.92,1588.26,0.023041809,0.301662586
